id;ausen;taller;sexo;edad;antg;sala
1;10;1;1;32;8;900
2;13;1;0;18;0;750
3;2;0;0;53;15;1480
4;0;0;1;37;16;1780
5;9;0;1;19;0;1030
6;4;0;0;44;20;1000
7;2;1;1;17;0;1300
8;2;1;0;65;25;1230
9;10;1;1;23;3;1100
10;9;1;1;27;7;1200
11;0;1;1;62;40;1800
12;9;1;1;26;2;1360
13;6;0;0;36;8;1020
14;6;1;0;28;8;1390
15;7;1;1;34;12;1530
16;5;1;0;28;9;1180
17;0;0;1;59;40;1810
18;0;1;1;53;29;1940
19;1;1;0;27;8;1180
20;8;1;1;32;10;1390
21;11;1;0;20;0;720
22;0;0;0;54;13;1850
23;2;1;0;40;10;1840
24;7;1;0;22;2;1310
25;6;0;0;23;3;1060
26;8;1;0;39;10;820
27;8;1;1;27;5;1430
28;8;1;1;24;3;1440
29;6;1;0;22;4;1520
30;6;1;0;25;5;1180
31;3;1;1;34;13;1930
32;5;0;1;25;5;1700
33;6;1;1;33;13;1930
34;5;1;0;21;1;1740
35;0;0;1;45;23;2840
36;0;1;0;43;20;1250
37;2;0;0;51;13;1160
38;0;1;1;48;25;2220
39;11;1;1;23;0;1190
40;6;1;0;57;10;860
41;5;1;1;29;8;2130
42;6;1;0;38;3;1560
43;0;1;1;44;20;2310
44;0;0;1;33;10;2410
45;0;1;1;56;25;2310
46;2;1;1;58;28;1340
47;0;1;1;58;28;1650
48;0;1;1;37;10;2290
